name,sort,pic_url,preJudge,songJudge,firstRank,secondRank,thirdRank,finalRank
希林娜依高,1,https://vfiles.gtimg.cn/vupload/202005/7c6bd91589023558044.jpg,板凳队,首发成团位,1（首发成团位）,,,
郑乃馨,2,https://vfiles.gtimg.cn/vupload/202005/17905c1589023747059.jpg,首发成团位,主力队,3（首发成团位）,,,
陈卓璇,3,https://vfiles.gtimg.cn/vupload/202005/11e9711589023590375.jpg,首发成团位,预备队,2（首发成团位）,,,
赵粤,4,https://vfiles.gtimg.cn/vupload/202005/4ebbfc1589024233837.jpg,预备队,预备队,10,,,
张艺凡,5,https://vfiles.gtimg.cn/vupload/202005/c8eb861589025499330.jpg,板凳队,预备队,4（首发成团位）,,,
刘些宁,6,https://vfiles.gtimg.cn/vupload/202005/4794a11589023619177.jpg,首发成团位,预备队,5（首发成团位）,,,
王艺瑾,7,https://vfiles.gtimg.cn/vupload/202005/21dbfd1589024055333.jpg,板凳队,主力队,7（首发成团位）,,,
徐艺洋,8,https://vfiles.gtimg.cn/vupload/202005/2a602c1589024329089.jpg,预备队,主力队,9,,,
姜贞羽,9,https://vfiles.gtimg.cn/vupload/202005/736de41589024112843.jpg,首发成团位,首发成团位,6（首发成团位）,,,
林君怡,10,https://vfiles.gtimg.cn/vupload/202005/9936b41589025520191.jpg,首发成团位,首发成团位,8,,,
孙珍妮,11,https://vfiles.gtimg.cn/vupload/202005/355bb01589024417673.jpg,预备队,预备队,19,,,
姚慧,12,https://vfiles.gtimg.cn/vupload/202005/3830311589024135105.jpg,首发成团位,板凳队,11,,,
苏芮琪,13,https://vfiles.gtimg.cn/vupload/202005/d27ce31589024242701.jpg,主力队,首发成团位,12,,,
胡嘉欣,14,https://vfiles.gtimg.cn/vupload/202005/3c85511589024664409.jpg,主力队,主力队,22,,,
许潇晗,15,https://vfiles.gtimg.cn/vupload/202005/b7bc431589024875503.jpg,板凳队,主力队,25,,,
