,name,sort,pic_url,preJudge,songJudge,firstRank,secondRank,thirdRank,finalRank,Facevalue
0,希林娜依高,1,https://vfiles.gtimg.cn/vupload/202005/7c6bd91589023558044.jpg,板凳队,首发成团位,1（首发成团位）,,,,79.63
1,郑乃馨,2,https://vfiles.gtimg.cn/vupload/202005/17905c1589023747059.jpg,首发成团位,主力队,3（首发成团位）,,,,82.44
2,陈卓璇,3,https://vfiles.gtimg.cn/vupload/202005/11e9711589023590375.jpg,首发成团位,预备队,2（首发成团位）,,,,85.8
3,赵粤,4,https://vfiles.gtimg.cn/vupload/202005/4ebbfc1589024233837.jpg,预备队,预备队,10,,,,72.52
4,张艺凡,5,https://vfiles.gtimg.cn/vupload/202005/c8eb861589025499330.jpg,板凳队,预备队,4（首发成团位）,,,,63.52
5,刘些宁,6,https://vfiles.gtimg.cn/vupload/202005/4794a11589023619177.jpg,首发成团位,预备队,5（首发成团位）,,,,87.84
6,王艺瑾,7,https://vfiles.gtimg.cn/vupload/202005/21dbfd1589024055333.jpg,板凳队,主力队,7（首发成团位）,,,,82.41
7,徐艺洋,8,https://vfiles.gtimg.cn/vupload/202005/2a602c1589024329089.jpg,预备队,主力队,9,,,,85.73
8,姜贞羽,9,https://vfiles.gtimg.cn/vupload/202005/736de41589024112843.jpg,首发成团位,首发成团位,6（首发成团位）,,,,86.73
9,林君怡,10,https://vfiles.gtimg.cn/vupload/202005/9936b41589025520191.jpg,首发成团位,首发成团位,8,,,,82.66
10,孙珍妮,11,https://vfiles.gtimg.cn/vupload/202005/355bb01589024417673.jpg,预备队,预备队,19,,,,81.47
11,姚慧,12,https://vfiles.gtimg.cn/vupload/202005/3830311589024135105.jpg,首发成团位,板凳队,11,,,,80.16
12,苏芮琪,13,https://vfiles.gtimg.cn/vupload/202005/d27ce31589024242701.jpg,主力队,首发成团位,12,,,,80.04
13,胡嘉欣,14,https://vfiles.gtimg.cn/vupload/202005/3c85511589024664409.jpg,主力队,主力队,22,,,,84.02
14,许潇晗,15,https://vfiles.gtimg.cn/vupload/202005/b7bc431589024875503.jpg,板凳队,主力队,25,,,,81.91
15,陈珂,16,https://vfiles.gtimg.cn/vupload/202005/8bc3a51589024580232.jpg,预备队,预备队,18,,,,82.24
16,拉娜,17,https://vfiles.gtimg.cn/vupload/202005/35aa451589024723392.jpg,预备队,主力队,43,,,,78.82
17,田京凡,18,https://vfiles.gtimg.cn/vupload/202005/e0ba9a1589025133304.jpg,板凳队,预备队,52,,,,64.15
18,伍雅露,19,https://vfiles.gtimg.cn/vupload/202005/2d64761589025003364.jpg,主力队,预备队,29,,,,80.13
19,刘梦,20,https://vfiles.gtimg.cn/vupload/202005/82e8371589024178748.jpg,板凳队,板凳队,13,,,,74.58
20,刘念,21,https://vfiles.gtimg.cn/vupload/202005/ce7b571589024755106.jpg,预备队,预备队,30,,,,86.32
21,曾雪瑶,22,https://vfiles.gtimg.cn/vupload/202005/0882391589025191811.jpg,主力队,首发成团位,23,,,,84.94
22,王一桥,23,https://vfiles.gtimg.cn/vupload/202005/37692d1589024837581.jpg,主力队,板凳队,27,,,,74.41
23,谢安然,24,https://vfiles.gtimg.cn/vupload/202005/871d471589024413094.jpg,主力队,板凳队,20,,,,71.73
24,陈倩楠,25,https://vfiles.gtimg.cn/vupload/202005/63fefa1589024457644.jpg,预备队,预备队,34,,,,78.7
25,胡玛尔,26,https://vfiles.gtimg.cn/vupload/202005/7589e41589025085297.jpg,主力队,预备队,38,,,,81.0
26,王柯,27,https://vfiles.gtimg.cn/vupload/202005/2ecee91589024583527.jpg,板凳队,预备队,26,,,,69.86
27,朱主爱,28,https://vfiles.gtimg.cn/vupload/202005/7bc66c1589024543248.jpg,预备队,主力队,14,,,,73.71
